Years of Gym Membership,Weekly Workout Hours,Age,Nutrition Knowledge Level,Income Level,Monthly Expenditure (USD)
3,6,46,2,3,948.9493417405528
8,10,52,1,1,994.9924771694779
5,6,44,4,2,964.0983870840101
0,3,44,5,2,555.6765719980879
7,11,25,3,2,949.1740604266038
6,5,49,1,2,896.9549100222512
9,13,37,2,2,1176.5194681114606
2,11,27,5,1,669.1639197668788
0,10,30,1,3,727.7876165455103
4,18,46,1,1,911.6239993335023
3,20,52,3,2,1090.459719682873
9,4,25,4,2,971.0789416444019
7,13,46,4,3,1326.9312885266343
0,20,48,4,1,914.44766535717
9,15,58,2,3,1494.156898189321
0,12,47,1,2,732.5238468920378
3,19,39,2,2,1081.5454493593534
7,3,38,1,3,941.9054162627107
4,10,29,3,2,828.6785314335256
1,16,28,3,1,678.0932542636269
5,6,19,2,2,716.1897154010084
4,13,58,2,2,1003.6412491565752
1,10,19,3,1,500.716591666932
10,8,51,5,2,1235.4680132664005
10,12,20,4,3,1290.3773361817966
10,17,33,4,3,1400.5945894430924
2,10,21,3,2,609.9808752681865
8,14,40,4,1,1012.4376688092136
6,18,37,5,1,990.1313283254711
6,0,42,5,3,889.1252877621298
10,3,47,1,2,965.0032573845054
5,13,35,2,1,796.2988832197647
7,13,59,4,1,1139.301621174653
3,2,28,5,3,716.40013079084
7,16,46,2,3,1214.0288018972158
3,2,34,2,1,428.40901960352267
7,15,43,1,3,1161.9798550226183
8,13,40,2,1,1056.1944458574717
2,19,37,2,2,923.8313972926892
2,12,62,3,3,1044.0994109331666
10,14,19,1,3,1204.9023000566276
1,13,41,1,2,680.7590290950801
9,18,48,4,1,1249.562208783059
2,5,44,2,1,591.0487684143586
2,9,19,4,3,843.477844596719
4,14,31,5,1,903.1802332745781
4,20,21,2,1,909.0304734639898
1,19,30,5,2,875.6881749907943
9,5,53,3,2,1029.8330003166925
5,9,52,2,2,862.37896090253
4,6,61,4,3,1085.853326836582
5,16,25,4,2,943.0150917707396
0,17,19,2,2,748.0852596444032
4,16,23,4,1,832.7007441260139
8,8,48,2,2,1143.4379800470965
9,9,27,1,3,1072.5690573264073
1,9,61,4,2,835.3101571919254
0,6,38,2,3,673.3484920034548
9,15,59,2,1,1184.2691027711426
10,17,27,4,1,1215.90335081905
8,5,40,1,2,877.7640026921056
9,19,20,4,1,1159.3167183810033
8,0,49,2,2,867.4577434384206
8,0,37,1,1,704.7228644930386
5,11,27,5,3,986.2416755197951
7,20,46,3,1,1213.6148026685294
10,1,58,4,2,1112.2081937829869
0,3,63,2,2,680.8037549048449
9,16,51,1,2,1218.152037159415
3,3,54,1,3,809.5469832405455
0,10,37,5,1,681.2969577752036
7,3,25,4,2,796.2256632559053
0,0,24,1,3,405.8836694281669
2,6,23,5,3,825.5285074497675
3,17,28,2,3,1057.3716749175333
7,8,61,5,1,1065.8105235831893
5,2,35,4,1,636.5215221031236
9,7,59,5,1,1119.1034520450178
6,18,46,1,3,1318.4842421193723
7,3,42,1,1,683.3222495190887
1,17,38,3,2,896.3993000277418
9,19,63,5,3,1601.2760687546718
10,10,20,2,1,902.1807905191371
7,13,35,4,3,1189.3109647881051
2,17,41,3,3,944.7717931600813
6,15,64,5,1,1184.4110239210859
2,2,55,2,3,796.6509562550269
6,14,27,3,1,836.6916357346006
10,3,44,1,1,937.8315079391567
1,4,29,4,1,461.74328366067635
9,16,24,5,3,1302.2148442417385
5,6,34,2,3,851.2325981551509
2,15,18,1,1,653.0812903318106
2,13,43,3,3,881.3079781315581
8,15,32,4,1,1000.5325387216861
6,6,50,3,2,930.3920016714446
4,8,54,3,3,992.1208893556234
9,3,64,2,3,1221.330687831594
6,10,48,1,2,965.4430378687694
8,1,52,5,2,1025.5286720957454
0,11,18,2,2,489.00939967668637
6,11,25,4,1,853.4817044610888
5,3,29,3,1,524.6068190277431
9,17,36,4,2,1301.8728835968384
8,20,42,2,1,1203.864586594653
0,6,49,2,3,686.0234859893771
3,0,29,5,2,663.7669073544439
8,12,30,3,3,1158.0477160848434
3,5,45,2,1,696.605763097613
9,5,18,4,2,971.4006864603034
2,11,23,5,1,633.0680144703473
8,7,25,4,3,1143.5486197525738
1,18,21,3,1,746.3508617189719
3,4,22,5,3,769.3928232598577
5,17,42,5,1,1074.775617860821
1,4,39,5,3,798.9763754334385
7,9,45,1,1,863.7197433019071
7,0,56,5,2,983.2823687576223
0,9,40,4,2,712.2261273676427
2,4,21,4,1,471.218303478398
9,11,21,3,3,1232.3272231638553
8,6,64,2,1,901.1393284463704
4,8,38,2,2,843.8470506563784
5,20,54,1,3,1189.081772812283
3,11,58,5,1,897.8234066453899
9,0,19,1,1,595.0897256913634
1,10,24,3,3,694.0487732575333
10,20,33,3,1,1250.6459497415842
7,14,34,2,2,1063.636974252004
10,1,37,3,2,1047.9900016406825
5,19,40,5,3,1260.046242216742
4,6,51,4,1,825.8202728788839
8,20,28,3,1,1129.4869337971938
0,11,51,1,2,733.8964113042665
4,17,50,5,3,1185.4029396850706
5,2,43,3,3,899.4403900931804
4,6,19,3,3,823.6609507623846
5,10,40,5,2,975.1684906644604
5,17,58,3,2,1189.0468362778086
6,11,39,4,3,1158.7975771367965
3,5,51,2,3,839.1084904397807
10,4,32,5,1,1028.7713665878427
7,0,27,1,1,499.8534012110672
6,11,32,3,3,974.2316062001404
8,10,59,2,2,1103.2890409692793
6,3,46,1,2,834.0674946549467
2,17,40,1,1,732.2514633715598
2,3,34,4,3,683.1125199147804
7,16,26,2,2,1055.5710198475938
4,1,53,5,2,840.0185486362475
3,1,26,2,2,528.1716489388988
7,11,33,2,2,935.7763153532662
5,5,53,1,1,745.354920008878
1,9,50,4,2,839.746946448782
3,20,48,4,2,1049.2875854871695
10,15,23,2,3,1354.047983494091
3,13,27,2,3,876.6687286209873
5,6,33,3,1,693.1652896573186
5,18,21,1,1,851.7141395825497
0,16,39,5,1,770.1645986929894
7,8,30,5,1,798.3026751294943
5,12,33,4,2,969.5916005906822
2,4,46,1,3,768.8999371867234
8,4,23,4,2,966.3962140413823
1,9,43,5,2,789.211858213701
10,20,28,2,2,1282.1954809040008
7,9,41,1,3,1101.2340546679231
9,6,46,1,1,1019.5885145533053
2,14,20,3,1,674.6770360496749
4,6,27,2,3,805.8795308268941
5,14,18,2,3,1042.843182972343
9,2,60,4,1,953.510523104636
5,18,43,1,2,1058.1324324738937
3,9,29,4,1,815.3825912928418
2,14,31,2,3,917.6689343490892
3,2,42,3,1,628.3391424498284
0,5,25,1,1,338.56506196968604
3,11,60,2,1,859.315128533288
0,14,21,3,3,835.7930560472329
0,5,45,5,3,699.2911872340771
9,12,24,2,1,965.1857209232375
5,18,27,5,1,1012.4873593887884
4,2,53,4,2,822.182011811611
10,7,19,5,2,1060.643297531597
3,7,43,2,1,734.7591854390687
10,19,31,5,3,1495.1814574634861
2,14,33,1,2,739.9437452791489
0,3,60,2,1,569.2115108755522
5,18,59,3,2,1264.4875256447294
1,20,34,5,2,1027.0372730887675
7,2,63,1,2,914.2190639456601
9,12,39,4,3,1286.3793931787623
4,7,21,4,1,612.995575647239
6,15,36,5,3,1242.6995711184654
9,12,19,4,3,1259.9279106392676
1,2,56,3,2,688.209050343064
7,15,26,2,1,1027.6034899785468
1,8,36,1,2,522.9815202119073
3,13,33,5,3,1032.0089636217133
0,12,42,4,3,911.5829211832598
4,20,35,2,1,904.5551340458127
8,6,40,3,3,1053.4240175450682
0,14,38,4,3,829.6413677084081
8,6,28,4,1,885.2200515425977
10,5,56,1,2,1048.3933036671003
7,1,58,3,1,923.6520066167152
5,8,21,3,3,930.7468729699602
6,16,42,5,1,1069.9630019545064
2,4,49,1,2,650.9751333148853
0,11,47,5,3,959.096268057044
4,0,62,1,2,807.0449763930237
1,9,43,3,2,688.3041098722312
4,10,53,1,1,758.3419563665391
7,15,51,1,2,1117.1333838821718
10,13,26,1,1,988.7697550583623
8,7,29,2,1,754.7620951883426
1,16,19,2,2,684.2560726882285
2,17,55,3,1,869.8093780402079
2,11,22,1,1,499.99230946452326
0,16,22,3,2,742.0140137732394
7,13,39,2,3,1158.7089246431178
5,15,22,1,1,820.8643577073431
7,13,21,5,1,915.7611207075491
10,8,26,2,2,1081.6951017723225
8,3,46,2,1,857.2359898998893
4,10,39,2,2,827.5767686381153
2,5,44,1,3,830.2142324061849
4,14,27,4,3,1040.6353155868946
4,4,33,5,2,768.6726296514017
4,10,59,5,3,1159.051765317333
2,17,59,3,2,977.6757271200482
10,12,27,1,1,996.1616094054282
9,10,23,2,3,1226.4544034145158
3,13,22,4,1,651.5202983517102
8,17,23,1,1,958.5887997006115
9,18,64,1,2,1352.620405984884
8,14,42,4,3,1291.6799517789045
1,8,21,2,3,649.967649048536
7,7,57,1,1,989.6620870830177
7,19,49,5,1,1197.2576385211662
6,0,52,5,2,929.841940395794
7,3,27,4,3,934.3721028313075
2,13,51,2,2,894.9593029753175
5,1,53,4,2,901.7838814956328
0,15,23,1,2,641.2812826757847
6,2,60,5,3,1061.4092574052172
0,7,63,3,2,738.8240482399478
8,5,33,4,3,1111.7538945642914
0,15,36,3,2,813.3231510108657
0,15,51,3,1,757.8513425919298
6,6,42,5,2,976.0253788815206
1,12,48,4,2,913.9407522139777
4,12,58,3,3,1088.6699144933048
7,4,34,1,1,709.3873562358405
7,19,64,2,1,1299.6847321140326
2,17,47,2,3,1030.1625913212463
6,14,56,5,3,1342.9522657567763
2,17,48,4,1,855.6555932861081
5,1,36,4,3,920.0494398045067
5,9,52,2,1,792.4689876303096
2,12,46,1,2,738.7534681173846
6,17,18,2,2,1034.6237919112639
2,14,21,2,1,626.9290349368963
7,11,45,4,1,1002.8810613306857
9,14,35,3,2,1216.529912350845
3,12,43,1,2,820.4962672634251
0,17,57,4,1,792.6141310488881
3,14,36,2,3,941.6043094756086
6,10,23,3,3,956.2599974224695
10,18,18,1,1,1138.0675464902438
3,2,25,5,3,825.2853199863822
5,6,50,1,2,807.96431234393
8,20,60,1,2,1351.7726671354003
0,13,38,2,3,796.3716606270143
4,13,41,2,1,897.9708141936253
10,12,42,5,2,1418.4717717961987
6,11,64,5,2,1226.5885738026443
0,8,60,5,2,784.3135613515591
3,0,36,4,3,692.0542862838057
5,18,46,4,1,1072.237234102676
1,10,27,2,3,737.2048458484761
9,18,29,2,1,1042.877900100658
4,17,50,5,1,1043.9684722274526
10,11,24,4,3,1365.6183324021088
9,0,34,3,2,950.2856176420763
0,18,27,4,1,656.9099050056903
5,19,48,2,3,1229.079304307564
5,16,23,4,2,1023.6729306773891
3,4,34,2,1,584.6213561153932
7,2,54,5,1,828.1874925336238
3,1,35,5,2,689.1336892643686
7,2,43,5,1,868.0510111215683
7,7,33,3,3,1035.672451449706
4,15,25,3,1,718.549924617828
3,5,41,2,1,607.417432466015
1,12,30,1,2,709.2072086624044
10,15,46,3,3,1391.4009762616804
2,15,49,2,2,881.5031297193389
2,2,41,4,3,834.8907239452761
3,12,33,5,2,895.0084721928956
3,13,28,5,1,805.5950073054682
9,7,49,5,3,1191.778052267222
10,11,23,2,3,1142.3567126332402
10,20,52,5,1,1519.4839320859883
4,7,50,3,2,962.7756730026252
3,20,35,4,3,1168.6437866788146
10,8,54,5,1,1065.657589473818
9,0,30,2,1,693.4164658604543
7,5,27,4,3,937.0760299490806
5,18,54,5,3,1261.34530770037
5,10,43,1,3,975.69886788554
7,10,63,5,1,1154.0368752188367
6,12,34,3,2,968.404485428693
9,10,18,4,2,1044.4781435005227
10,17,42,3,3,1424.6398741199878
9,14,51,1,1,1160.1615310563693
7,0,56,1,1,804.6605446505661
1,20,27,3,3,983.0999584374492
8,6,37,4,1,988.9218511209855
0,12,24,1,1,470.85699442397635
7,11,33,1,1,952.3462318592819
10,17,54,5,3,1529.6961311947352
3,18,46,2,3,1001.594390932396
3,14,29,1,3,841.8539194878535
4,7,34,4,2,762.4101361053606
7,18,37,4,2,1177.990368186855
4,9,43,5,3,1101.4306837201482
7,6,36,4,1,847.5435012246202
9,17,64,5,1,1292.2501757325495
0,15,29,1,3,702.1901075973096
9,19,38,1,1,1147.123617815191
8,5,59,1,1,1001.2370744319693
5,8,51,1,2,906.0520427015362
2,20,24,2,1,827.1940725391364
7,12,62,2,1,1080.0914403606441
8,20,52,1,3,1313.6754396826589
5,7,32,4,2,900.0678155200492
10,15,18,5,2,1183.0484643901693
6,12,43,3,1,924.160910579109
0,12,52,5,3,913.8659731042776
4,16,42,3,2,1014.8195852897196
4,19,59,3,2,1152.568756271728
9,4,32,1,1,800.9674343771972
3,20,39,3,2,1021.2063117339351
5,16,23,1,3,1028.386004913926
6,8,32,2,3,966.2030288751828
8,1,41,4,2,936.3700811223863
0,17,38,3,3,1019.6087614285623
5,8,24,4,3,1001.9779675902325
6,5,46,1,1,735.0761512172044
2,10,49,3,2,840.3345221056438
7,5,49,5,2,1046.4207563422285
4,5,22,2,1,573.997849338288
8,12,21,2,1,903.953603184266
4,10,39,3,1,789.3598524138332
8,13,35,2,1,982.4112347918549
9,1,52,5,3,1149.2727493722693
3,7,34,4,3,860.6075050495986
8,2,41,5,1,808.1996000924365
4,20,19,2,2,989.753799135219
9,2,30,4,2,984.1048076480193
8,0,32,5,2,1010.5799650262855
2,18,22,1,1,640.2240203168669
3,17,20,1,3,899.8208014248551
8,16,54,4,3,1468.349334901253
9,19,54,4,3,1537.9445080505814
10,12,54,4,3,1511.5768705481846
5,2,20,1,2,693.813453957097
1,0,52,5,2,538.5044272462032
6,3,40,4,3,992.8685473055926
1,12,45,1,1,658.1325302316371
10,16,47,4,3,1473.8587622072382
1,10,35,4,3,823.2767655104175
10,1,53,4,1,1083.1043426037713
0,15,50,1,3,878.6483911996032
10,1,43,5,2,928.1527794683996
10,18,57,1,1,1252.8718868846213
10,18,34,1,1,1263.5587441737969
2,15,57,4,3,1049.1478669619225
5,18,24,3,2,1080.8768067894468
7,8,25,3,2,977.123552947854
8,0,48,3,2,917.2057687306607
6,9,29,1,3,964.4549773205522
3,18,48,4,3,1166.5168707836422
5,0,61,3,2,818.6337060986305
4,1,36,2,3,726.5731470319306
7,15,27,2,2,1116.0333517076815
0,11,56,2,3,851.3252409471772
0,7,29,5,1,496.3998979808751
10,17,37,4,1,1272.4589982774603
5,1,54,1,3,891.3229809064735
9,12,58,1,3,1235.39945284549
1,5,24,4,2,557.79030716512
4,20,31,5,1,920.0600811463871
0,5,28,4,2,687.5064490876695
6,8,24,5,3,1011.8631137268244
0,15,46,3,2,786.1604413586261
3,10,27,3,2,749.9916377860112
8,6,46,5,3,1162.2905220455648
0,9,26,4,1,520.8484170079038
3,9,53,3,2,946.7543161135416
5,19,27,4,3,1189.8670192175662
5,17,36,3,2,990.6198841386104
7,19,48,4,3,1332.6003552497978
0,8,34,4,3,758.7302332091696
6,14,26,2,3,1028.3710934306237
0,3,62,5,1,610.4590647333844
6,7,50,1,1,952.2850793791654
2,8,51,5,3,914.7147631688287
10,12,62,4,1,1197.6901459894243
7,8,41,4,2,997.9866787930335
2,3,26,5,1,450.041402309208
0,16,24,4,1,724.3052013901049
7,15,33,3,2,1047.0350780928595
2,14,36,4,2,831.3017546745186
1,2,56,5,2,653.3284891426794
0,19,23,5,3,860.4172550216712
2,4,28,5,2,667.257445057724
1,4,29,2,2,497.4416034455113
1,19,59,2,2,894.7653871916773
5,14,30,2,3,1021.3892207195203
0,17,29,2,1,663.2830420787344
1,14,38,2,3,857.9007007226832
5,1,27,2,1,594.9640723736674
2,12,37,2,2,869.926805386389
3,3,53,5,3,965.724739662533
0,9,45,1,3,745.7925847801077
7,12,41,2,1,995.6097062726897
6,9,22,5,3,1151.3556444750768
6,8,54,1,3,987.9376008779573
2,7,29,2,1,576.6359453159474
9,2,52,1,3,1030.152393978852
9,15,57,1,3,1377.085839703376
2,13,19,3,2,678.8957663942545
1,8,58,4,2,857.7948868027862
0,20,62,3,2,1013.9962345302414
6,10,56,1,2,1084.97511845821
6,2,59,5,2,971.4363493501488
1,4,26,2,3,604.8451835000918
6,9,39,4,3,1080.3447852337092
7,12,64,2,2,1293.0573501888202
0,3,22,5,1,451.67483520432006
8,12,29,4,2,1172.233741959912
6,11,18,3,3,1036.2178409653934
2,4,61,1,1,659.097652076026
7,9,39,5,2,1001.2441242050259
6,8,55,1,1,837.0079515200384
10,19,36,1,2,1258.933972673241
7,6,33,2,3,997.9541556341527
5,1,48,5,2,854.8249641620681
8,6,20,1,1,669.6162267995472
4,7,40,3,3,932.1470231285864
2,6,59,4,2,734.3751574147324
2,20,35,5,2,1063.823545606566
0,13,43,2,2,740.1976805066001
7,18,30,5,2,1272.2678982508542
1,4,35,2,3,675.642408430189
2,17,20,4,3,936.8803291617886
7,19,40,3,2,1141.1882700745568
7,11,20,1,3,980.273924579494
10,16,42,5,1,1240.6144408560442
3,12,44,2,3,988.5775382738033
3,1,61,4,1,673.9448830472709
4,12,44,1,1,820.2457444137758
5,6,56,4,3,1137.6918022588402
4,9,42,3,2,809.2958801366824
6,5,41,1,3,934.8696236732895
1,2,25,1,1,342.6128199167168
6,2,26,1,1,615.7112515337993
9,17,63,2,3,1499.3326328521994
6,10,54,1,1,979.3877689414603
0,19,47,4,3,979.5262792605004
6,4,36,2,3,841.3955365434391
4,18,33,1,2,964.4255774331664
2,18,41,4,1,907.475536658161
2,14,61,4,3,1141.0161945314371
3,15,38,5,1,851.9450590844783
1,8,53,4,3,816.1075547231752
1,3,57,3,3,845.9484215865718
0,14,56,1,2,815.6237008910942
4,11,64,1,3,1051.0651121172868
3,2,23,1,2,427.69303558221543
10,13,22,4,1,1056.5454907275569
9,16,31,4,2,1279.7694433759584
1,18,62,1,2,971.7398680993799
2,5,59,2,1,586.0847413287659
6,3,21,2,2,755.9559256144719
6,6,25,3,2,830.5904787366325
3,18,41,5,3,1228.3536360586343
4,16,28,3,2,915.1032964618037
4,15,34,1,3,969.1510428531534
5,14,38,1,2,955.7547977017128
8,7,43,1,1,864.1171572097394
1,18,60,5,1,916.3262454695754
4,7,61,4,2,1057.0719390591732
2,17,62,5,3,1271.0480850368947
3,15,44,3,2,912.0043874265161
9,19,33,4,3,1426.0161185492836
5,18,43,4,2,1068.401934318024
7,9,50,3,1,1055.0615822189343
0,16,48,4,1,818.0070841083176
9,12,64,2,3,1420.182896718603
7,12,23,3,2,982.4228526412227
10,6,61,3,3,1373.7348566140163
6,9,25,2,1,823.8675550864582
0,1,24,5,3,581.76756518141
1,3,51,5,2,657.5498032167238
2,5,61,5,3,976.7604181493507
0,17,31,4,2,808.6737279351132
8,5,33,2,2,1017.6275158049839
7,16,60,3,1,1162.5316037474886
1,13,26,3,2,735.3227205163835
8,10,27,3,2,1065.3489933055166
6,18,34,4,2,1150.1637844017062
8,1,29,4,3,1019.7178032581996
5,2,23,5,1,628.0484627640253
5,10,36,4,3,994.0719876109306
10,5,60,5,3,1304.371568117083
3,13,58,5,1,933.1437535163702
9,18,46,3,3,1435.9310374232018
9,15,23,4,3,1309.951864763458
1,20,42,5,2,1032.7823864966592
6,6,41,2,3,985.5037033051509
4,7,42,2,1,656.4953242228315
10,18,33,4,3,1479.941303580577
5,19,33,3,2,1009.932797278339
1,15,23,3,3,796.6206779870228
4,6,54,5,1,842.2597839552014
9,8,38,4,2,1159.8226193550568
3,12,21,2,3,886.3655950506427
8,0,51,5,1,899.9832803932354
5,7,45,5,1,887.2375265390733
1,3,55,1,3,661.7273013680328
0,2,58,4,3,721.9101433424084
4,2,45,5,2,787.6681348591358
8,12,34,2,3,1121.2561418560754
5,7,31,1,2,757.035418958633
9,6,24,2,3,1039.5587927503236
6,0,39,3,1,661.8852879055615
4,15,18,1,1,707.1627488373678
9,5,46,1,1,766.9253813643451
5,6,48,5,1,879.2846223587591
4,11,47,3,2,924.719251414525
10,8,32,5,1,1049.6720056409404
8,10,35,4,2,1025.5856952976185
5,9,52,2,2,1027.5502968462715
10,20,47,2,2,1474.9169358481076
7,0,51,5,3,971.5721022819725
1,17,59,2,2,933.2234889655454
8,3,28,2,3,1006.3896316937677
4,4,44,4,2,802.0732522509902
6,8,41,3,3,1024.6932035538766
9,16,52,1,3,1326.4457235597567
0,2,56,5,1,585.6352428441362
9,15,25,5,2,1355.7696782543564
4,4,35,4,3,916.3950510649105
9,15,30,4,1,1064.572124702865
1,2,62,1,2,598.5558478828411
5,19,41,3,1,1011.6122914977219
10,14,40,5,3,1387.041651284158
0,2,29,4,1,352.7157866700654
2,19,47,5,1,1002.4964918237415
4,13,48,2,2,934.8532517128566
3,15,45,5,3,1143.5907409673569
2,16,39,3,2,994.121435906151
9,19,61,3,2,1398.7832414873894
4,17,45,5,1,1028.7312987688583
10,17,30,2,3,1298.818863043399
7,13,42,3,2,1130.7755082537685
10,17,61,4,3,1630.0022201240631
3,14,63,5,2,1157.4223567379372
0,14,24,2,1,562.1153003816116
10,5,62,4,2,1204.051779618982
6,14,23,5,2,1056.8401966823283
7,17,41,2,2,1157.5555751698794
2,3,36,4,3,783.0569192451989
5,7,36,3,1,728.2760094461953
1,14,53,5,3,1024.9916181084236
6,2,26,5,2,809.0847959571942
7,14,53,3,1,1118.3232120632729
5,12,55,1,3,1134.9589733585897
5,8,57,4,2,993.4218779566007
4,1,46,3,1,582.4507909538088
7,7,41,5,1,963.1320312750712
0,19,22,4,2,846.5957441009705
9,16,59,4,1,1278.2924518628422
3,12,62,1,1,794.3195449481211
3,0,43,5,3,791.1015104805367
2,1,31,2,1,516.9669701054017
2,14,56,1,3,1001.0865149112731
3,11,46,1,3,980.6695672709253
10,13,23,2,3,1194.8453700485622
0,1,24,2,3,560.5122757208891
10,17,54,1,1,1284.734310926503
10,6,35,4,1,1009.8792539451329
1,5,40,3,3,770.4469940559122
8,13,61,3,1,1219.6967153543749
9,7,55,1,3,1139.59893189081
1,1,18,4,3,553.7133177781739
4,16,21,2,3,1011.2016965738936
8,4,61,1,2,1016.012413318216
8,13,64,5,1,1250.5644502262985
7,19,52,4,1,1244.4077428989249
0,20,40,5,3,1074.93111520715
0,20,44,5,1,857.3582158633834
8,2,43,1,3,975.8023350781772
10,4,25,4,1,1002.7669017102236
7,15,60,5,3,1404.3101177855776
9,17,33,4,3,1442.765889294896
8,16,58,3,2,1371.2412334462374
6,10,20,5,3,1010.9525579133721
2,16,49,5,2,1051.7754956357905
2,15,22,4,1,675.989409863835
1,1,37,3,1,525.8583356580998
4,3,31,5,2,774.4279401710769
2,20,49,1,1,882.0008455437658
5,6,43,4,2,861.7437819837804
1,1,64,4,1,579.6604588310355
2,5,23,5,2,676.3094949278063
4,16,53,3,2,1079.5496047616853
10,6,57,5,3,1335.7441616919255
10,4,22,2,1,893.916952279529
0,4,30,5,3,679.8769401717016
0,19,49,2,2,834.4668170559738
9,15,33,1,3,1281.0190657885298
8,18,18,4,2,1112.0361909265748
6,8,30,4,1,733.828137960404
0,4,28,3,1,414.80783949931475
7,7,25,5,1,813.4656665584298
2,8,42,1,2,708.9056026423439
7,4,57,2,3,1115.8179050887138
4,9,49,3,1,864.2251902786716
0,1,41,1,2,479.8824097658114
6,8,45,1,3,948.696837688324
4,10,31,2,2,778.9923975206259
5,3,62,2,2,880.2707724942666
5,1,20,4,1,590.7539836364698
7,5,53,5,2,1017.9045236067354
8,13,44,3,2,1146.8783616959413
1,0,37,5,3,725.5179062545507
8,17,64,3,1,1275.1871878788334
10,6,32,1,2,994.5773192707065
9,0,44,2,2,981.482620541976
8,0,62,2,3,1003.6745253132763
9,0,58,1,2,1011.1101191392665
9,3,45,1,2,999.229687676094
6,3,42,3,2,897.33461718235
0,17,59,1,2,879.8230820649824
6,10,61,3,2,1062.3375739600303
9,0,63,5,3,1244.5995910459246
4,9,50,2,2,869.2189410016039
5,8,63,2,2,995.2619076894798
9,3,31,2,2,888.6050280672941
6,5,25,5,2,857.7554303972123
4,15,31,5,1,897.8375491847939
6,1,18,4,1,649.986195219947
8,17,33,3,1,1123.3596986401615
2,9,35,3,1,729.7849705598001
7,16,24,4,3,1217.406323347351
1,12,32,2,1,562.6135211015588
10,17,41,3,3,1474.9982815253031
6,12,30,3,1,896.8817134707365
1,16,26,2,3,850.4814266956536
3,4,32,1,1,499.976263033932
6,10,52,1,2,959.0881787746589
2,6,41,4,1,612.4271656860774
1,9,50,5,1,668.9767125306925
10,16,33,3,1,1223.2754960046846
9,14,25,3,2,1166.7399780511912
6,17,46,4,3,1294.6528736197454
0,18,40,4,3,948.962530814064
7,1,62,3,2,1024.4684188055467
2,3,48,2,1,488.9682050975574
1,2,57,2,1,528.4503547586926
2,6,31,5,1,674.1073183712722
4,17,47,3,3,1065.3685789613892
10,9,56,3,3,1358.8024952761687
7,6,44,3,2,946.9921473797959
9,7,64,3,2,1206.0580545590935
6,5,33,4,3,966.2774683517367
6,0,23,1,1,574.6845644803111
6,3,50,3,1,861.6271893103982
7,13,61,1,1,1170.666318709531
0,16,35,2,1,649.3300075438914
3,19,33,5,2,1081.898637604012
5,17,29,2,2,1012.1077031974303
8,10,37,3,3,1195.804075967415
1,20,62,2,2,1093.7899973791186
0,13,57,4,1,730.79033035763
9,8,46,1,3,1152.085750074262
1,14,47,3,2,846.226317067501
6,11,43,4,2,1005.7575678001078
2,9,39,1,2,704.9262532579983
9,18,50,4,2,1412.8984961535118
1,18,56,2,2,991.4180978761924
10,5,64,3,1,1100.8087144214498
6,19,46,2,1,1127.1017964551531
1,5,39,5,1,491.31087307999667
2,7,62,3,2,956.2691028341195
10,0,30,2,3,1038.3628306312623
6,16,26,3,1,918.4782212954266
3,16,41,1,1,828.1050830726734
0,14,32,3,2,722.3606499848407
4,6,53,3,3,870.5391024836024
8,18,30,1,1,1042.3452853370911
7,2,44,2,1,815.5753474303526
8,10,61,3,3,1343.1896127162802
9,19,54,4,2,1432.5848898932982
8,18,24,3,3,1317.8885815639474
6,8,25,2,2,866.7719963365464
3,9,54,1,1,741.1287961413685
4,1,58,2,3,835.5503534376516
0,0,31,5,3,587.6394675061941
0,15,29,3,1,622.1819157550394
2,17,53,3,1,909.2739233997075
7,16,57,1,2,1225.1576599249775
1,5,34,3,1,479.27864318432586
3,13,57,4,1,845.4119593306873
1,14,46,4,3,1051.9880420994766
4,13,44,2,2,891.5689559369969
8,2,18,1,1,684.5047501271973
0,18,51,5,3,1077.659176839437
4,11,21,2,1,667.7832337081197
8,1,41,1,1,785.3728900210278
0,2,38,1,1,299.61851028781564
8,17,50,2,1,1231.5364832737855
7,0,24,2,2,861.7438900425793
3,19,18,3,3,1071.5457564127285
10,20,58,5,3,1599.4954533244709
9,5,20,4,1,753.7156119906997
4,4,61,3,3,998.8681936995664
4,0,32,1,1,425.331378237497
10,18,48,5,3,1529.342038692756
5,0,33,5,2,841.1410977912838
6,20,27,2,2,1176.184099143134
7,20,46,5,3,1516.5832853987238
7,15,23,5,1,1019.9207262780754
10,11,46,1,1,1124.8299871593783
1,7,34,3,1,450.4278637786126
8,15,39,5,1,1070.0422735050283
6,0,41,2,2,750.5902196811493
3,3,34,3,1,612.0648399648487
3,9,38,2,1,658.6793859982688
10,10,28,5,1,1130.1329194054176
7,16,24,3,1,922.3222584265577
3,6,59,5,2,920.1015708376659
5,11,56,1,3,1107.4941185195808
4,20,22,3,3,1137.8702269831722
2,6,61,2,1,662.4219667821051
9,11,38,1,1,991.4331239412379
10,14,35,4,3,1297.9629491024205
1,1,52,2,2,584.7457727869263
8,13,37,5,2,1249.083959999598
9,12,32,2,2,1096.8554631508027
8,3,22,4,2,852.6033739994076
0,13,30,2,2,709.0713724362713
9,13,29,1,2,1199.2604310830452
2,15,38,2,2,958.6635213760139
7,6,54,3,2,1043.0711305950385
5,18,23,4,2,1083.525154884943
4,1,24,2,1,581.931477959544
4,9,43,4,2,927.0648349165215
5,17,59,1,1,1038.065738972414
6,16,25,3,3,1118.851624134654
