Distance Traveled (miles),Number of Participants,Age,Accommodation Quality,Duration of Stay (days),Travel Expenses (USD)
46,2,59,1,2,1927.01599461504
277,1,45,1,3,1900.737890128005
378,5,40,2,3,2444.420855773046
192,5,62,4,1,2579.6385850417437
22,2,57,2,1,1753.0739331408952
288,4,61,1,3,2567.975897102418
226,1,39,4,2,1943.1244313061782
364,5,41,3,2,2374.8475463130762
370,5,43,1,1,1992.504391725156
295,4,47,2,2,2229.3190878082323
282,2,50,3,2,2142.4331108893944
378,1,33,5,2,2025.8878820479588
71,2,39,3,3,2026.5764543163132
93,2,60,2,3,2355.141475045152
377,1,35,3,2,1826.0041807458695
226,1,24,2,1,1261.092905022467
351,5,43,1,2,2118.856368183401
406,5,25,4,1,1966.4681880778662
196,1,23,5,3,2050.3033855864132
28,3,47,4,2,2329.3209112560153
186,5,56,4,2,2697.2458036148846
109,3,40,4,1,1978.4790922244065
405,1,49,2,1,1738.7714266654204
454,5,39,2,2,2199.912650159636
242,2,59,5,2,2606.3997214813676
412,1,60,2,1,2067.964510686419
85,4,62,2,3,2557.411212479569
274,3,26,2,1,1479.0018145249094
464,1,48,2,2,2023.7623454194206
293,1,24,1,3,1631.9538778445042
215,5,26,5,3,2464.213276797937
232,5,30,2,3,2077.1427487411315
393,5,20,5,3,2442.889008101812
61,4,52,3,2,2277.9742381975716
348,5,50,1,3,2399.626583224172
376,1,38,2,1,1584.3704480632327
153,5,48,1,1,1852.9156067710794
382,2,51,1,1,1789.098545381955
78,5,49,3,2,2398.8224094007146
108,4,52,5,3,2856.468658983997
405,2,32,1,1,1425.975438450317
34,1,49,4,1,1882.279936675892
445,1,23,3,1,1332.3629932442705
388,3,62,4,3,2936.963158114505
478,2,38,3,1,1852.9146215753385
493,3,50,4,3,2727.9921875865425
62,2,49,4,3,2443.3939115859885
160,2,36,1,3,1788.2152956176449
153,4,50,1,2,2037.4078634671014
66,3,45,3,2,2087.9319302951494
48,4,48,5,3,2794.938995380955
118,2,38,1,3,1715.2995890267448
190,1,51,1,2,1748.43119544249
51,2,32,2,2,1615.3909607204885
195,4,31,1,3,1894.288751948852
432,3,36,5,2,2374.248524820979
407,3,60,2,1,2223.028656940663
232,4,32,4,3,2328.589593153236
131,3,23,4,3,2033.5640226656471
142,5,26,2,2,1825.4027911088633
172,1,54,2,1,1830.593427529879
224,1,37,2,2,1685.0452960908349
230,1,51,3,1,1953.1815203852104
244,3,55,5,1,2399.8680747289
340,3,43,5,3,2569.3643820819284
155,2,35,4,1,1668.3770308120563
248,2,45,4,3,2479.8028327640227
85,1,26,4,1,1492.684372065659
18,5,49,1,3,2203.0842788721093
83,2,23,4,1,1482.255301482995
451,2,31,2,2,1762.3238725485232
410,3,45,4,1,2168.834747541969
262,5,41,2,2,2110.140068049369
239,1,30,3,1,1436.7712037750198
16,2,60,1,1,1720.9747786339965
183,5,29,1,3,1923.709549839753
150,5,36,5,1,2328.152082272815
177,1,38,3,1,1548.1444449326789
179,5,44,2,1,1965.8386837563066
402,5,36,3,2,2294.030785378365
443,5,41,1,3,2318.2777064174975
292,2,43,2,3,2080.706155393781
131,1,62,3,1,2086.434960694613
203,5,45,1,1,1872.5014485551137
14,5,63,2,2,2444.4370427064596
38,2,35,2,1,1351.363794409504
174,1,61,1,3,2099.8342186836257
431,3,53,2,3,2512.792772307356
348,2,59,1,2,2175.3532033816773
145,1,46,4,2,2092.5377545538922
374,5,34,4,3,2637.0952764414437
330,1,21,2,2,1382.3809762781068
351,1,61,2,1,1938.2758702546191
154,1,62,1,1,1756.5266442571406
336,3,46,2,2,2162.5928466418427
226,1,21,5,3,1952.8267196547158
310,3,27,4,2,1988.2023886189152
141,5,42,2,3,2369.781735412116
301,3,48,2,2,2166.3395904453996
79,5,20,3,2,1804.7963178804428
261,5,64,2,2,2637.2323956096084
424,3,19,5,1,1895.1424865901274
284,2,42,4,1,1997.427957906982
454,4,23,3,3,2201.025508483771
373,1,43,1,2,1730.0969843644207
191,4,25,1,1,1338.1051697947612
176,1,52,4,2,2249.726013841398
100,1,44,1,3,1760.7279139442815
211,5,42,5,1,2347.2228971906557
355,1,35,2,3,1820.4279066229658
28,1,18,4,1,1263.6708151085998
48,3,56,3,2,2309.6490171444193
135,4,20,2,3,1857.5525452078082
460,3,21,1,1,1320.8039930722607
182,1,58,1,1,1710.5746161122606
150,5,54,3,2,2500.018119780768
251,3,32,5,3,2397.6315432140236
229,3,25,3,3,1971.0379034466193
135,2,55,4,3,2553.7118869890187
67,1,36,3,2,1687.2574620435116
157,5,64,1,1,2249.538736197634
485,3,43,5,1,2307.1265528478743
465,3,56,5,3,2990.0039772440145
326,5,27,3,1,1818.619201042061
392,1,55,4,3,2601.8802322100396
370,2,31,1,2,1597.6879871911558
432,3,58,2,2,2393.4994632307116
10,2,36,5,2,2063.954976967961
396,4,47,3,3,2635.019072757026
470,1,22,4,1,1619.1353523344067
357,4,48,4,2,2540.47496071672
199,4,24,1,3,1809.1498539879217
200,4,36,5,3,2590.969456902067
378,1,48,1,2,1818.6212982399672
418,1,56,2,2,2068.866142053246
321,5,41,2,2,2096.315251602217
426,2,51,2,1,1936.1718254933933
431,2,40,4,1,2065.3627314029122
126,5,62,5,3,3169.425320541543
143,5,57,1,2,2309.0442938536285
67,4,23,1,2,1422.8240123620762
53,5,55,2,1,2130.6247915097947
182,3,58,5,2,2701.8344752820626
169,2,53,5,3,2604.4254421150836
182,5,44,3,2,2410.445967558964
326,3,28,5,1,2032.878078342714
312,3,22,5,3,2292.4216845275528
158,3,34,1,3,1873.2463499840464
89,3,24,5,2,1951.1537003637375
383,4,44,5,3,2861.288734660658
222,3,64,1,2,2217.538647271068
212,4,32,5,2,2303.4000084096465
261,4,63,1,1,2053.3882807621253
238,3,30,3,3,2061.560682471417
173,2,28,4,2,1769.9872390944058
236,3,62,1,2,2145.2930666158427
156,3,43,1,2,1785.3148910617613
29,3,39,5,3,2409.113405677796
450,2,45,1,3,2091.9478257238447
411,1,41,2,3,2109.2476505487134
56,1,46,2,2,1716.9144172044284
242,4,26,3,3,2077.7615329930018
314,4,59,1,2,2320.22552805593
23,2,21,5,3,1948.004691383082
152,5,63,5,3,3150.230229284829
424,1,35,4,2,1989.777754424571
10,4,60,3,3,2699.0440266231117
382,1,33,5,2,2012.5892506490848
63,2,50,4,3,2389.1257911992852
383,2,46,5,3,2738.0443967489095
268,5,56,4,3,2799.0420559292543
153,5,27,2,3,2010.131507030536
480,2,26,2,1,1536.496657905168
450,4,48,5,2,2830.4993313200825
468,1,45,3,1,1923.967755891512
21,3,20,1,3,1519.0919029023225
339,5,31,3,3,2292.0693536931894
233,3,42,3,2,2063.1772101561414
281,4,32,1,2,1816.2082056951206
465,5,19,2,2,1799.3079729971187
367,3,41,2,2,1909.6467389554628
469,4,31,1,3,2025.4206457207467
417,1,24,4,2,1778.9501414002384
165,4,53,3,1,2196.5565860644924
382,5,41,5,2,2541.9360937350857
17,2,44,2,2,1656.0896309906038
131,1,54,5,1,2210.6279703721184
357,3,55,1,1,1913.3434720125874
173,5,47,5,1,2453.656878292016
99,2,44,5,1,2099.024180324139
145,4,56,3,2,2403.5559663246736
195,2,32,1,1,1274.2279611063993
325,5,43,5,3,2850.062166401051
187,5,18,2,2,1697.7722994695796
37,2,21,1,3,1294.556280825288
229,4,46,2,2,2102.1323462743667
366,2,18,4,2,1797.4880848712426
50,5,60,5,3,3033.1430481069974
237,5,63,1,1,2234.4976465129844
201,3,39,2,1,1763.972033438359
420,3,28,5,3,2427.919550383526
456,1,27,3,1,1625.0251435500063
154,5,34,2,2,2026.9946286555887
210,3,53,2,2,2132.4167995507487
426,2,64,4,2,2629.798970756763
221,4,43,3,1,1990.3041052056897
470,2,38,4,1,2014.002694999425
229,4,30,3,3,2181.813009630336
249,3,26,2,2,1677.7265147792878
422,1,28,4,3,2024.7298430930016
406,2,28,5,1,1874.0853654351274
55,2,23,3,3,1765.4266649489273
44,2,18,2,1,1181.5450232684807
262,4,23,1,2,1486.1523861527214
399,3,30,3,2,1945.8782796497167
91,2,39,3,1,1657.509357593292
380,2,48,5,1,2307.26866124193
265,1,39,3,1,1602.6383969562455
206,1,54,3,2,2137.406188477569
312,3,64,5,1,2747.0391553371687
418,3,44,5,2,2457.8005454624863
459,5,31,4,3,2599.3016249070843
19,1,64,2,2,2029.754669183773
321,5,22,2,3,2013.4071440526486
295,4,53,4,2,2631.940559797075
251,5,49,2,2,2324.2588057499906
260,2,51,3,1,1983.3260306068046
374,5,24,4,2,2200.124522937074
14,3,59,4,1,2224.138284855181
128,4,27,2,1,1549.7286841674934
298,2,34,1,1,1355.7483448922794
383,5,47,2,2,2347.5999565466914
74,4,38,1,1,1529.4287637816938
155,4,30,4,3,2354.105246456743
233,2,18,1,3,1448.431807294715
248,5,18,3,2,1866.6363991173778
186,4,64,5,1,2762.3780980455417
276,4,50,1,3,2275.9505587765675
350,1,55,5,2,2539.463660554291
291,4,42,3,2,2243.764219725379
72,1,43,5,2,2178.2450313104086
226,5,30,3,2,2040.7198437081727
351,5,45,5,2,2690.171435765185
324,5,50,5,1,2671.090818727004
292,3,54,2,1,2065.3355904764003
186,5,58,1,1,2061.0321598056507
470,4,47,5,1,2620.111721877318
426,2,25,4,2,1884.4293345066471
107,1,64,2,2,2139.4311604601035
114,3,18,1,3,1525.4343377120294
108,5,29,2,3,2091.9576904213623
394,5,22,1,1,1451.7268943131307
414,2,41,3,2,2102.862103550122
320,2,23,5,3,2154.489246314341
15,3,42,4,3,2368.478110613453
485,1,18,2,3,1596.216755777188
474,5,42,2,3,2456.8621447597907
206,3,18,2,1,1214.8813576959121
360,4,49,2,2,2319.2585694248387
142,4,59,5,1,2563.810996017895
367,3,59,1,3,2486.918493659437
268,5,20,5,3,2369.3099368816547
446,3,36,3,2,2117.232610188357
32,5,60,5,2,2942.9625134130347
494,2,46,5,1,2295.4704014002987
62,3,19,3,2,1584.5923393181804
174,5,26,5,1,2081.7016715368122
211,3,34,1,1,1402.1713048560355
467,3,63,4,3,3004.612952669908
92,5,53,3,1,2293.239331486221
154,5,34,2,3,2242.047417879948
94,1,29,1,1,1056.2549880089707
87,3,37,4,1,1900.793806846814
466,4,20,1,2,1576.646584817362
375,3,60,1,2,2247.1680707809633
10,3,21,2,3,1595.4103361644525
60,5,34,4,2,2201.5479277963063
182,3,54,1,1,1896.9105959256922
214,3,63,2,3,2573.371427301944
269,4,59,3,3,2768.305277047999
455,5,32,2,3,2224.880121423705
458,3,50,5,1,2533.54975357166
378,2,33,2,2,1791.3480329631902
497,1,28,2,3,1814.8630950699403
297,4,37,2,1,1883.5561902520403
43,3,55,1,2,1944.870300656358
357,2,41,4,2,2146.384969694226
104,3,33,2,3,1907.2537345509054
81,3,47,2,1,1738.138947487545
48,5,51,5,2,2706.033234292864
163,5,18,5,1,1895.1597743304687
259,5,41,3,2,2357.144938608833
171,2,41,3,3,2132.714091304784
447,3,26,5,3,2410.1009996902094
127,1,39,4,2,1952.7617238065495
268,4,29,3,1,1805.6267049328494
388,5,34,4,2,2317.4791870611634
315,5,42,5,1,2402.6111101102024
277,3,45,3,2,2159.553913868754
458,3,32,2,3,2014.78240986129
63,2,47,5,1,2152.1164861620764
245,2,44,3,3,2283.594698110399
398,5,39,4,1,2333.6031896375152
487,3,27,4,2,2076.21336527065
231,1,48,3,3,2202.3803500662334
260,4,44,4,3,2562.641893295386
322,3,29,3,1,1756.178094621186
410,3,63,3,1,2403.887661396412
121,2,48,4,1,1984.2082649992972
264,4,49,1,3,2299.5212196418615
312,5,49,2,2,2319.0391730540127
416,3,58,5,1,2564.651591461652
216,5,62,2,2,2504.631643646054
238,3,52,5,1,2413.5261282731717
350,5,63,5,2,3031.384291750633
407,4,38,2,1,1859.2206272818892
75,2,27,3,2,1584.2608180660623
84,4,33,4,3,2254.700527684688
444,1,24,1,1,1127.6025675401875
112,2,21,1,1,1033.9640912075279
431,4,44,1,3,2261.474829883067
201,1,42,2,1,1586.7163030444299
261,3,48,2,1,1851.3472265541218
235,3,28,3,3,2097.0754477698206
303,5,37,1,3,2277.54757117177
315,2,53,3,2,2246.5026815882297
107,3,34,1,3,1695.1409014326225
347,2,62,2,3,2426.4210786967824
295,3,28,4,1,1782.6593015316496
344,5,47,4,3,2777.2941298177434
356,4,52,4,1,2418.2569380378486
444,5,58,4,3,3107.414258879151
456,1,55,5,3,2713.6960122875726
491,3,39,1,2,1866.9238273460694
317,1,60,4,3,2633.2010459953685
258,1,44,5,3,2560.7775475892236
175,2,54,5,1,2248.420864208833
490,3,63,5,1,2717.05902826615
481,1,52,3,2,2232.176602478581
344,4,21,3,3,2004.3952339773252
39,1,33,5,1,1786.1557754178848
256,4,33,4,3,2337.0062631375285
115,2,38,1,2,1521.7058716447825
60,1,43,2,1,1550.9674745144926
90,5,53,3,1,2195.454628467981
142,2,36,4,2,2032.729468407614
294,4,34,4,3,2404.371509103402
397,2,62,2,1,2107.5829974708176
147,1,43,2,1,1508.107812157
193,3,39,4,2,2120.4726862110274
410,3,45,2,2,2150.3532221280043
339,4,18,4,2,1936.303350240678
282,4,61,2,3,2705.548148187616
349,3,53,2,3,2493.3173979481744
481,4,60,4,3,3067.5513443753393
78,2,54,5,2,2396.3612061022964
43,5,19,4,1,1653.0357281919482
271,5,34,1,3,2108.04569145734
62,2,57,2,2,2073.7752115439553
459,5,55,3,3,2912.0189656588404
214,1,38,2,1,1462.5535733362071
135,2,26,1,1,1116.0153006772332
244,4,30,3,2,2004.5826861910227
52,2,28,3,1,1349.6287537546493
249,3,33,4,2,2068.513280132078
468,4,33,5,2,2447.3238214572402
380,3,19,4,2,1880.434629177177
120,4,59,3,2,2425.2751458721677
258,5,61,3,1,2436.34430399756
160,2,25,5,1,1710.342421051168
192,1,60,2,1,1892.8618320693247
345,4,59,5,1,2780.252930656308
104,4,30,4,2,2008.101012776182
468,3,34,2,2,1889.3431036702882
383,5,56,4,1,2691.0750414699323
409,3,41,5,3,2727.704378063233
17,3,20,2,3,1552.8000992078566
397,5,47,5,3,3022.272332018024
369,1,30,1,1,1276.1201500731506
397,3,36,3,2,2078.287704835233
193,3,24,2,2,1517.840253533622
290,4,26,3,3,2085.2247803267264
204,5,36,1,3,2040.6019056682387
361,2,62,2,2,2346.945450390579
204,1,57,3,3,2370.5281851745863
164,1,39,3,3,1998.7600158833568
102,5,35,2,2,1920.900273441593
169,4,40,3,3,2256.577457503205
443,4,19,3,3,2181.2548226706162
70,5,28,2,1,1615.139581094438
131,4,48,3,3,2549.1006529403267
60,1,50,3,1,1724.2197452548514
412,1,31,4,2,2001.935726291042
286,2,33,4,1,1783.1763093292727
14,5,28,1,2,1643.5137306537765
475,3,50,4,1,2387.087511807108
101,3,24,4,1,1706.047184038143
179,2,48,1,1,1597.1810462367791
326,2,63,3,3,2622.7827046459806
31,4,64,3,3,2744.7613036773223
414,2,31,4,3,2256.55239324505
335,2,45,1,3,1990.7059860582758
10,3,60,3,3,2533.844528210346
142,4,33,5,1,2003.5863352114252
242,2,36,2,3,1892.0917425485318
21,2,34,2,2,1612.7149308304547
355,4,43,2,1,1981.5971267422087
55,5,23,4,1,1842.587803248466
43,4,60,2,2,2435.2977341736655
442,3,26,2,3,2015.4081547173446
87,5,34,5,2,2365.8989506807616
227,1,48,3,1,1776.7161078138072
310,4,29,5,1,2072.1927145318714
420,3,40,4,1,2082.442027404204
82,5,22,2,2,1689.2941538284122
291,4,60,3,3,2840.0471486994065
258,2,53,2,1,1912.988293156379
56,4,53,2,3,2466.7977651375218
130,1,20,4,1,1384.7762967957676
223,4,41,2,3,2167.7201029186604
248,5,34,1,2,1825.5003974957244
65,5,56,3,1,2322.6287593723596
359,4,43,3,1,2100.933483480933
116,5,21,1,1,1393.412621451178
328,2,62,4,2,2604.35190700389
57,4,29,2,2,1699.6798595009802
70,2,18,2,3,1416.3008668172342
346,2,38,3,2,1942.6638545125609
35,3,36,4,1,1852.9386096722665
301,4,38,4,3,2520.982692261989
266,5,35,4,2,2362.744325219988
17,2,60,2,3,2331.0289983241314
122,3,20,4,3,1955.3315052340276
364,4,61,1,3,2501.9152549531796
262,4,49,5,1,2461.028610311917
189,1,27,4,1,1532.2877334700756
216,1,57,5,2,2566.5910852223806
312,2,32,2,1,1562.409335735088
136,1,22,4,3,1784.0610319907078
65,2,21,3,3,1671.403906881018
223,5,45,2,1,1943.8157881081042
23,2,21,1,3,1373.2556031913998
483,1,32,1,1,1307.7896404287883
37,5,34,5,3,2678.866329833378
480,1,61,5,2,2654.2310319796948
87,2,20,3,2,1496.4290494230163
225,3,27,3,1,1570.356964553696
395,4,64,1,1,2228.7308528146177
374,1,59,4,1,2250.3301912444326
163,2,40,1,1,1472.0748510739145
23,5,35,1,1,1583.5159060713975
196,1,18,3,3,1646.9032546908668
321,1,52,5,2,2412.8998246571614
380,4,48,3,3,2653.9651600212633
16,2,61,3,2,2253.9149849491187
12,3,18,3,3,1645.6876447709244
120,5,20,1,3,1700.9054804815876
416,2,20,4,3,2013.6682763773576
247,5,54,1,1,1991.012934106672
372,1,36,2,2,1749.679782654875
248,4,46,3,1,2053.4419939928707
283,4,42,3,1,1988.802108481501
303,3,50,2,3,2351.497957684652
236,4,53,3,2,2470.8651895328057
380,1,46,3,2,1999.208834880166
24,3,43,3,2,2069.031413544623
201,2,21,2,2,1312.5316735299855
482,4,31,1,1,1627.5333982419534
128,3,44,3,1,1837.5152915590443
494,1,50,4,2,2307.072469047252
37,5,39,2,1,1885.3943758145322
211,5,20,5,2,2106.0918684445314
48,1,40,2,1,1421.1878199123894
450,1,38,1,3,1781.6644446264554
282,5,58,2,3,2739.459440800479
240,3,40,5,2,2390.4471383450477
95,5,21,4,2,1994.9900931385334
483,1,38,5,1,2108.043467927388
135,4,54,2,2,2230.609511392564
309,2,60,5,2,2758.225378490152
34,4,48,2,1,1951.4953040975029
154,4,38,4,2,2251.222266916561
22,1,43,4,2,1915.6858187798214
221,5,58,1,3,2460.2521118091313
34,3,52,4,3,2579.11368153501
77,4,55,3,3,2533.153758351635
403,5,41,5,2,2604.330160518816
76,3,28,5,1,1892.1871005889182
242,4,58,2,3,2558.0601175151587
118,3,46,4,2,2399.9700078238434
155,5,64,1,3,2574.626715330996
120,2,20,1,1,985.1320673039165
237,5,18,1,1,1346.4605850074734
120,1,36,3,1,1540.2282527713267
479,3,63,4,1,2595.2907364489197
43,2,39,1,1,1346.1018483758594
120,3,31,3,1,1792.1416035884126
273,3,31,5,2,2289.5385428707
433,4,61,2,3,2778.676188457366
378,1,33,4,1,1687.7289900892192
245,3,50,4,3,2618.8044639067753
92,5,30,5,3,2529.0272144526803
51,5,55,4,2,2662.9109557590127
434,4,29,4,1,2060.8803691356356
110,1,55,4,1,2022.9423583821003
15,1,56,4,2,2225.573203596969
189,5,50,3,2,2406.7492557194273
291,2,50,3,2,2262.2373429167224
329,4,46,2,2,2219.4413542668103
235,4,22,4,2,1932.1328773150617
452,5,23,5,3,2547.2438948199615
449,5,48,1,2,2237.0154701122497
324,2,33,2,1,1478.0033995824845
374,2,48,1,1,1743.50831144408
463,1,42,1,2,1725.348771347648
238,4,63,4,2,2752.5339939496203
386,4,50,5,2,2698.144529898058
298,5,30,1,2,1841.7298180486696
446,1,27,1,2,1426.407068304861
159,4,41,2,1,1764.7673217947658
286,1,27,5,3,2108.1082335410974
207,1,58,5,2,2513.776003078845
79,5,48,1,2,2052.6905193943235
121,1,30,5,2,1920.102721013902
13,2,20,2,1,1018.0404938933392
359,2,51,2,1,1905.520624262886
340,3,45,2,3,2209.042462952893
455,5,36,4,3,2718.450209812558
327,3,40,1,3,2065.6463163218464
359,2,62,5,3,3027.3365207627958
104,3,49,2,1,1709.0553205583142
161,5,30,1,3,1915.540908427309
320,5,50,1,2,2206.099626907365
146,1,51,4,1,2021.7498239488184
256,4,50,5,1,2523.0437280585384
396,1,22,5,1,1752.2312820201198
252,5,20,2,2,1610.1747417607044
40,2,24,2,1,1159.9349759226989
49,2,41,1,2,1597.3899419093912
238,1,39,5,3,2390.4749524226672
45,5,62,5,1,2752.5905858263027
417,2,40,2,2,1932.245124625215
232,5,47,3,1,2174.1469579100667
15,2,35,1,3,1632.009965502372
331,5,49,5,1,2564.0275598172266
477,3,24,4,3,2169.447323486765
229,5,50,4,1,2364.747092951897
84,5,22,3,2,1777.46533776493
13,1,45,2,3,1923.2975068519727
344,3,25,2,1,1478.2165242043975
143,4,32,2,3,1965.1606633351862
127,1,21,4,3,1697.925867237939
378,4,51,2,2,2290.5333370328817
103,2,22,4,2,1765.5027761493614
495,4,50,3,2,2497.802163047925
444,5,22,1,2,1752.0038381912962
71,4,55,5,3,2894.5022974617887
450,1,51,3,3,2392.0932652587708
203,1,43,4,1,1787.847405586991
344,4,18,3,1,1561.6657499821638
212,1,21,5,1,1549.2605949720287
401,1,56,1,2,2044.560930512444
35,4,43,5,3,2636.661032765164
444,3,50,4,3,2785.8767893912695
182,3,50,5,1,2397.3723213742815
309,2,25,3,1,1462.2042979830944
142,1,37,2,3,1811.0579781884849
335,4,33,3,2,2161.7439298591357
419,1,38,4,1,1897.6589613436815
127,5,62,1,1,2178.6359481580853
333,1,43,5,3,2522.179054080468
284,1,40,1,3,1816.0190559010603
221,3,35,4,1,1937.817756460583
234,4,48,5,1,2442.105523558744
29,1,59,3,2,2127.5121448580862
122,3,29,3,2,1738.0954537889893
149,2,18,4,2,1541.652436136325
56,3,59,5,2,2641.5312451755394
10,3,26,3,1,1496.8302189286744
99,3,20,4,1,1561.4285546144472
151,1,43,4,1,1867.2955708835505
329,1,26,1,2,1328.1978166067638
47,2,59,3,1,2189.600004672923
302,5,33,5,3,2762.3628605284457
391,5,41,3,2,2289.6202396336444
148,5,31,3,3,2276.8254400382652
365,2,20,3,2,1680.9387712738235
342,5,51,4,1,2384.8740899706936
500,5,50,2,2,2458.344209545256
268,3,41,2,3,2179.8457577301233
170,1,26,1,2,1254.718915319968
399,1,30,3,3,1968.7986887480924
187,3,19,2,1,1277.4531733768456
19,3,24,1,3,1574.6289729740338
270,3,38,4,1,2072.417116430427
416,1,36,3,3,2116.5290852023563
147,5,42,5,1,2422.2656215045326
181,3,64,4,3,2817.629043768581
395,2,39,1,1,1628.8711692577997
22,3,28,4,1,1686.7463359356163
177,4,50,5,1,2418.971697075335
139,3,49,4,3,2570.269026784751
93,1,38,1,3,1629.269402420834
330,3,56,5,1,2541.90363329464
328,4,37,5,2,2469.0561755024214
110,2,25,4,1,1520.6882999297807
338,5,59,5,2,3006.7891891328272
282,3,54,4,1,2285.952542033176
274,4,26,3,3,2071.6305821468704
468,4,42,5,2,2573.4526568989845
408,2,42,4,3,2425.314711962319
417,1,50,3,2,2130.9653665749847
47,3,19,5,2,1877.1938953069496
428,4,36,3,2,2238.8152456045646
103,2,63,5,2,2694.6043475087504
104,5,37,1,3,2090.624901211919
314,4,59,1,2,2331.4084065457732
78,2,58,4,1,2152.6652070794635
327,1,59,2,1,1926.796703847752
453,1,46,1,2,1885.4704249609267
245,4,23,2,3,1855.2680627964633
443,4,34,3,3,2444.194080816939
343,3,42,3,2,2140.639633561128
382,2,55,2,3,2288.6222785489604
385,4,21,4,3,2200.1359750525403
468,3,47,5,3,2866.328463980254
146,3,37,2,2,1896.1725861884368
427,4,20,2,1,1439.6045677589987
85,1,40,2,1,1483.9133489304256
492,2,35,2,1,1690.6573912543488
44,2,43,2,1,1647.0701195153847
10,1,53,4,1,1831.4400857958212
305,4,25,1,3,1885.3414810340316
329,2,34,5,3,2416.5451001154133
415,4,48,1,3,2340.432356545881
69,4,54,2,2,2266.4499319153288
329,3,62,1,3,2354.257765647927
358,1,50,4,1,2129.749938894201
337,4,44,3,3,2617.2458658426913
276,5,62,1,1,2159.567490714168
370,1,21,5,3,2051.7803108924436
238,2,39,4,1,1900.873023843514
279,3,43,3,3,2367.3226457023497
325,2,49,4,1,2163.801976598753
295,2,41,2,1,1633.9254059793748
300,1,63,3,2,2361.9975240964186
222,2,52,5,3,2788.2015752826605
174,4,54,3,1,2237.307635632722
14,2,49,5,3,2555.41245037418
348,3,24,2,1,1418.2726162225651
388,3,50,5,2,2710.9570426669006
87,5,48,4,2,2492.653909169504
419,3,29,1,2,1536.9931624009637
71,2,28,4,2,1816.5100574942314
141,3,41,4,1,2025.8466662791493
98,1,25,3,3,1684.059774757568
246,3,49,2,2,1991.392359356942
51,4,55,1,2,2019.689827546022
98,1,39,5,2,2073.2438662720724
411,5,51,3,3,2755.978781992469
305,4,36,2,1,1794.5835688411255
337,2,37,1,1,1488.083824917867
304,2,31,4,1,1750.2088886027384
113,2,50,2,1,1686.5508939019173
23,4,27,2,3,1924.1605035996845
297,4,33,2,3,2136.528937041412
188,4,21,4,3,2147.569976251705
134,1,44,5,2,2216.20726677084
431,1,45,3,3,2320.37093780281
362,2,60,5,1,2511.9452045868675
32,3,33,1,3,1767.416336237693
72,2,50,3,2,2119.4250576398745
152,5,36,1,1,1677.7709283970592
490,1,38,4,3,2245.2686855489796
162,4,39,5,1,2217.956170229118
154,1,26,2,1,1216.352733231508
234,4,26,3,3,2175.949341740553
459,5,26,2,3,2154.4924771694778
471,5,44,1,2,2219.59838708401
318,1,34,2,3,1764.6765719980879
113,4,61,2,3,2540.674060426604
113,5,62,4,3,3018.454910022251
444,2,25,4,1,1743.5194681114606
48,2,33,5,2,1998.1639197668787
444,4,35,1,1,1719.7876165455104
207,1,50,4,3,2395.1239993335025
143,5,18,4,2,1921.959719682873
76,1,29,5,3,2064.0789416444018
400,2,23,3,1,1576.9312885266343
188,5,58,5,1,2758.44766535717
465,1,22,2,3,1766.656898189321
51,3,33,2,2,1713.023846892038
457,4,35,4,1,2225.0454493593534
24,4,35,4,3,2323.905416262711
120,3,18,5,3,2063.6785314335257
166,2,36,5,3,2331.093254263627
298,5,25,1,2,1690.1897154010082
487,4,20,2,3,1937.1412491565752
240,3,42,5,3,2575.716591666932
420,3,22,3,1,1570.4680132664005
429,2,57,1,3,2334.8773361817966
166,2,36,5,2,2128.5945894430924
47,1,35,4,3,1938.4808752681865
450,4,48,5,2,2647.4376688092134
106,1,50,4,3,2248.1313283254713
494,3,64,4,3,2956.1252877621296
420,5,35,2,3,2250.0032573845056
448,5,56,2,2,2495.298883219765
298,2,33,5,1,1973.301621174653
263,5,33,5,2,2377.90013079084
205,5,64,3,1,2486.528801897216
95,5,55,1,2,2105.9090196035227
331,3,58,1,3,2342.4798550226183
19,5,24,5,3,2375.6944458574717
14,5,31,2,1,1625.8313972926892
132,5,60,3,1,2420.099410933167
339,1,42,1,2,1659.4023000566276
362,3,49,5,2,2546.75902909508
127,2,55,2,1,1843.062208783059
303,1,39,2,1,1542.5487684143586
406,4,33,2,2,2011.477844596719
168,3,46,4,1,2122.1802332745783
312,3,33,2,1,1660.03047346399
237,4,29,5,1,1994.1881749907943
374,4,34,3,1,1841.8330003166925
225,4,54,5,3,2854.87896090253
445,2,44,2,3,2243.3533268365823
193,5,42,3,1,2014.5150917707394
24,3,30,1,2,1515.085259644403
166,5,25,1,3,1810.700744126014
145,5,22,5,2,2245.9379800470965
270,4,29,3,2,1942.5690573264073
166,2,58,5,3,2773.3101571919256
56,1,20,3,2,1381.3484920034548
333,2,52,3,2,2235.7691027711426
341,5,50,5,1,2641.40335081905
182,2,39,3,1,1668.7640026921056
139,4,61,2,1,2198.8167183810033
420,1,26,3,3,1842.4577434384207
104,4,58,3,1,2251.7228644930387
124,1,35,5,2,1943.241675519795
252,5,46,1,2,2139.614802668529
429,1,56,4,2,2416.708193782987
301,1,44,3,2,2026.303754904845
291,1,53,4,2,2268.652037159415
308,2,62,3,3,2643.5469832405456
292,2,34,5,2,2222.2969577752037
78,5,51,5,3,2850.225663255905
